Identifiant ,Sales_Date,House_Type ,Number_of_Rooms,Address,Post_Code,City,Price,House_Inside_Area,Population,Population_Density(km2),Number_of_Schools,Number_of_Hospital,Region_Area(km2),Avg_Monthly_Salary,Avg_Age
2017-1246232,07/04/2017,Appartement,4,15 RUE DES MURIERS,88200,Saint-Nabord,113100,90,4023,106.2,3,1,38.14,2245,43.87
2017-1246129,27/03/2017,Maison,5,15 RUE DE SOUS FROID,88200,Saint-Nabord,161100,105,4023,106.2,3,1,38.14,2245,43.87
2017-1246065,07/03/2017,Maison,4,7 RUE DU CLOS LA DAME,88200,Saint-Nabord,130000,95,4023,106.2,3,1,38.14,2245,43.87
2017-1246063,03/03/2017,Appartement,2,26 RUE DU CENTRE,88200,Saint-Nabord,94000,85,4023,106.2,3,1,38.14,2245,43.87
2019-673499,22/08/2019,Appartement,3,12 IMP PONCILLON,63000,Clermont-Ferrand,114000,62,146734,3333.8,104,13,43.16,2390,38.21
2019-673478,20/08/2019,Appartement,1,3B RUE HENRI BARBUSSE,63000,Clermont-Ferrand,57180,28,146734,3333.8,104,13,43.16,2390,38.21
2019-673448,19/08/2019,Appartement,4,51 BD JEAN BAPTISTE DUMAS,63000,Clermont-Ferrand,261343,94,146734,3333.8,104,13,43.16,2390,38.21
2019-673420,16/08/2019,Appartement,3,27 RUE DU CHATEAU DES VERGNES,63000,Clermont-Ferrand,50700,67,146734,3333.8,104,13,43.16,2390,38.21
2019-673324,12/08/2019,Appartement,4,18 RUE PORTEFAIX,63000,Clermont-Ferrand,67000,80,146734,3333.8,104,13,43.16,2390,38.21
2019-673382,09/08/2019,Appartement,2,7 RUE DU PONT ST JACQUES,63000,Clermont-Ferrand,120000,35,146734,3333.8,104,13,43.16,2390,38.21
2019-673406,09/08/2019,Appartement,4,11 RUE BARRIERE DE JAUDE,63000,Clermont-Ferrand,180000,93,146734,3333.8,104,13,43.16,2390,38.21
2019-673409,08/08/2019,Terrain,, RUE SAINTE ROSE,63000,Clermont-Ferrand,550000,,146734,3333.8,104,13,43.16,2390,38.21
2019-673332,08/08/2019,Maison,5,63B RUE VICTORIEN SARDOU,63000,Clermont-Ferrand,149953,87,146734,3333.8,104,13,43.16,2390,38.21
2019-673285,08/08/2019,Appartement,4,114 RUE DE L ORADOU,63000,Clermont-Ferrand,106600,68,146734,3333.8,104,13,43.16,2390,38.21
2019-673282,07/08/2019,Appartement,3,39 BD ARISTIDE BRIAND,63000,Clermont-Ferrand,93600,60,146734,3333.8,104,13,43.16,2390,38.21
2019-673411,07/08/2019,Appartement,3,80 BD LAFAYETTE,63000,Clermont-Ferrand,82000,53,146734,3333.8,104,13,43.16,2390,38.21
2019-673216,07/08/2019,Maison,5,82 AV JEAN MERMOZ,63000,Clermont-Ferrand,170000,132,146734,3333.8,104,13,43.16,2390,38.21
2019-673146,06/08/2019,Appartement,1,42 BD COTE BLATIN,63000,Clermont-Ferrand,46000,33,146734,3333.8,104,13,43.16,2390,38.21
2019-673471,06/08/2019,Appartement,1,12 RUE DE BLANZAT,63000,Clermont-Ferrand,28500,22,146734,3333.8,104,13,43.16,2390,38.21
2019-673481,06/08/2019,Appartement,3,6 AV VERCINGETORIX,63000,Clermont-Ferrand,225000,75,146734,3333.8,104,13,43.16,2390,38.21
2019-673454,05/08/2019,Appartement,2,39 BD MAURICE POURCHON,63000,Clermont-Ferrand,108000,47,146734,3333.8,104,13,43.16,2390,38.21
2019-673453,05/08/2019,Appartement,3,7 RUE SAINT HEREM,63000,Clermont-Ferrand,135900,54,146734,3333.8,104,13,43.16,2390,38.21
2019-673333,05/08/2019,Appartement,2,10 RUE SAINT ARTHEME,63000,Clermont-Ferrand,135000,40,146734,3333.8,104,13,43.16,2390,38.21
2019-673130,05/08/2019,Appartement,3,21 RUE MONTLOSIER,63000,Clermont-Ferrand,110000,64,146734,3333.8,104,13,43.16,2390,38.21
2019-673467,02/08/2019,Maison,4,5 CHE DES BOULEAUX,63000,Clermont-Ferrand,160000,70,146734,3333.8,104,13,43.16,2390,38.21
2019-673457,02/08/2019,Appartement,2,4 RUE FRANCISQUE FABRE,63000,Clermont-Ferrand,103000,45,146734,3333.8,104,13,43.16,2390,38.21
2019-673463,02/08/2019,Appartement,4,1 RUE ROBERVAL,63000,Clermont-Ferrand,131750,68,146734,3333.8,104,13,43.16,2390,38.21
2019-673483,02/08/2019,Maison,2,11 RUE VILLIET,63000,Clermont-Ferrand,108000,36,146734,3333.8,104,13,43.16,2390,38.21
2019-673345,02/08/2019,Appartement,4,41 BD TRUDAINE,63000,Clermont-Ferrand,190000,86,146734,3333.8,104,13,43.16,2390,38.21
2019-673341,02/08/2019,Appartement,4,73B RUE SAINT ALYRE,63000,Clermont-Ferrand,105000,82,146734,3333.8,104,13,43.16,2390,38.21
2019-673465,02/08/2019,Appartement,3,5 RUE DE LA CARTOUCHERIE,63000,Clermont-Ferrand,300000,57,146734,3333.8,104,13,43.16,2390,38.21
2019-673427,01/08/2019,Appartement,3,4 RUE DE BELLEVUE,63000,Clermont-Ferrand,94000,66,146734,3333.8,104,13,43.16,2390,38.21
2019-673132,01/08/2019,Maison,3,148 RUE DU DEVOIR,63000,Clermont-Ferrand,138038,60,146734,3333.8,104,13,43.16,2390,38.21
2019-673172,01/08/2019,Maison,4,65 RUE DOCTEUR VIGENAUD,63000,Clermont-Ferrand,113689,64,146734,3333.8,104,13,43.16,2390,38.21
2019-673075,01/08/2019,Appartement,3,92 RUE DE BLANZAT,63000,Clermont-Ferrand,85500,48,146734,3333.8,104,13,43.16,2390,38.21
2019-673278,01/08/2019,Maison,3,8B AV JEAN MERMOZ,63000,Clermont-Ferrand,170000,86,146734,3333.8,104,13,43.16,2390,38.21
2019-673072,01/08/2019,Maison,4,5 RUE DES MURIERS,63000,Clermont-Ferrand,340000,97,146734,3333.8,104,13,43.16,2390,38.21
2019-673456,31/07/2019,Appartement,5,111 RUE FONTGIEVE,63000,Clermont-Ferrand,142990,91,146734,3333.8,104,13,43.16,2390,38.21
2019-673058,31/07/2019,Appartement,1,64 RUE DE L ORADOU,63000,Clermont-Ferrand,48500,30,146734,3333.8,104,13,43.16,2390,38.21
2019-673443,31/07/2019,Appartement,1,39 RUE DE LA RODADE,63000,Clermont-Ferrand,36183,33,146734,3333.8,104,13,43.16,2390,38.21
2019-673455,31/07/2019,Appartement,1,5 RUE RIBEYRE JAFFEUX,63000,Clermont-Ferrand,95000,25,146734,3333.8,104,13,43.16,2390,38.21
2019-673496,31/07/2019,Appartement,3,32 AV DES PAULINES,63000,Clermont-Ferrand,116300,75,146734,3333.8,104,13,43.16,2390,38.21
2019-673057,31/07/2019,Terrain,, LA PRADELLE,63000,Clermont-Ferrand,850,,146734,3333.8,104,13,43.16,2390,38.21
2019-673123,31/07/2019,Maison,4,48 RUE DE LA VAILLANCE,63000,Clermont-Ferrand,180000,82,146734,3333.8,104,13,43.16,2390,38.21
2019-673325,31/07/2019,Appartement,3,15 RUE DES CHANELLES,63000,Clermont-Ferrand,84400,56,146734,3333.8,104,13,43.16,2390,38.21
2019-673125,31/07/2019,Appartement,2,23 RUE SAINT GENES,63000,Clermont-Ferrand,97785,45,146734,3333.8,104,13,43.16,2390,38.21
2019-673001,31/07/2019,Appartement,1,64 RUE DE L ORADOU,63000,Clermont-Ferrand,38000,31,146734,3333.8,104,13,43.16,2390,38.21
2019-673497,30/07/2019,Appartement,3,23 RUE JEAN RICHEPIN,63000,Clermont-Ferrand,69000,37,146734,3333.8,104,13,43.16,2390,38.21
2019-673428,30/07/2019,Appartement,1,8 PL DE REGENSBURG,63000,Clermont-Ferrand,115150,45,146734,3333.8,104,13,43.16,2390,38.21
2019-673073,30/07/2019,Appartement,2,14B AV DE GRANDE BRETAGNE,63000,Clermont-Ferrand,82000,45,146734,3333.8,104,13,43.16,2390,38.21
2019-673396,30/07/2019,Appartement,1,17 BD PAUL POCHET LAGAYE,63000,Clermont-Ferrand,47300,19,146734,3333.8,104,13,43.16,2390,38.21
2019-673044,30/07/2019,Appartement,2,23 RUE SAINT GENES,63000,Clermont-Ferrand,77000,43,146734,3333.8,104,13,43.16,2390,38.21
2019-673423,30/07/2019,Appartement,3,32 RUE SULLY,63000,Clermont-Ferrand,151000,73,146734,3333.8,104,13,43.16,2390,38.21
2019-673189,30/07/2019,Appartement,2,6 BD COTE BLATIN,63000,Clermont-Ferrand,58000,30,146734,3333.8,104,13,43.16,2390,38.21
2019-673046,30/07/2019,Appartement,4,43 RUE GUYNEMER,63000,Clermont-Ferrand,90000,68,146734,3333.8,104,13,43.16,2390,38.21
2019-673462,30/07/2019,Appartement,1,30 RUE DES PLANCHETTES,63000,Clermont-Ferrand,35000,17,146734,3333.8,104,13,43.16,2390,38.21
2019-673491,30/07/2019,Appartement,4,79 RUE DES CHAMBRETTES,63000,Clermont-Ferrand,147450,67,146734,3333.8,104,13,43.16,2390,38.21
2019-673329,30/07/2019,Appartement,3,94 BD LAFAYETTE,63000,Clermont-Ferrand,136000,69,146734,3333.8,104,13,43.16,2390,38.21
